"id","resource","name","province","lat","lon","code"
"35433","http://it.dbpedia.org/resource/Cervignano_del_Friuli","Cervignano del Friuli","UD","45.8167","13.3334","C556"
"35434","http://it.dbpedia.org/resource/Borgomale","Borgomale","CN","44.6167","8.13333","B018"
"35435","http://it.dbpedia.org/resource/Bosia","Bosia","CN","44.6","8.15","B079"
"35436","http://it.dbpedia.org/resource/Chiopris-Viscone","Chiopris-Viscone","UD","45.9333","13.3833","C641"
"35437","http://it.dbpedia.org/resource/Bossolasco","Bossolasco","CN","44.5333","8.05","B084"
"35438","http://it.dbpedia.org/resource/Briaglia","Briaglia","CN","44.4","7.88333","B167"
"35439","http://it.dbpedia.org/resource/Santa_Brigida_(Italia)","Santa Brigida ","BG","45.9833","9.61667","I168"
"35440","http://it.dbpedia.org/resource/Briga_Alta","Briga Alta","CN","44.0833","7.68333","B175"
"35441","http://it.dbpedia.org/resource/Brondello","Brondello","CN","44.5833","7.4","B200"
"35442","http://it.dbpedia.org/resource/Brossasco","Brossasco","CN","44.5667","7.36667","B204"
"35444","http://it.dbpedia.org/resource/Busca","Busca","CN","44.5167","7.46667","B285"
"35447","http://it.dbpedia.org/resource/Camo","Camo","CN","44.7","8.2","B489"
"35448","http://it.dbpedia.org/resource/Canale_(Italia)","Canale ","CN","44.8","8","B573"
"35449","http://it.dbpedia.org/resource/Canosio","Canosio","CN","44.45","7.08333","B621"
"35452","http://it.dbpedia.org/resource/Caramagna_Piemonte","Caramagna Piemonte","CN","44.7833","7.73333","B720"
"35453","http://it.dbpedia.org/resource/Cardè","Cardè","CN","44.7335","7.46678","B755"
"35454","http://it.dbpedia.org/resource/Carrù","Carrù","CN","44.4833","7.88333","B841"
"35455","http://it.dbpedia.org/resource/Cartignano","Cartignano","CN","44.4833","7.28333","B845"
"35457","http://it.dbpedia.org/resource/Casalgrasso","Casalgrasso","CN","44.8167","7.63333","B894"
"35458","http://it.dbpedia.org/resource/Sambuca_di_Sicilia","Sambuca di Sicilia","AG","37.6335","13.1001","H743"
"35459","http://it.dbpedia.org/resource/Cividale_del_Friuli","Cividale del Friuli","UD","46.084","13.4333","C758"
"35462","http://it.dbpedia.org/resource/Casteldelfino","Casteldelfino","CN","44.5834","7.06671","C081"
"35463","http://it.dbpedia.org/resource/Castellar_(Italia)","Castellar ","CN","44.6167","7.43333","C140"
"35464","http://it.dbpedia.org/resource/Castelletto_Stura","Castelletto Stura","CN","44.45","7.63333","C165"
"35465","http://it.dbpedia.org/resource/Castelletto_Uzzone","Castelletto Uzzone","CN","44.5","8.18333","C167"
"35466","http://it.dbpedia.org/resource/Castellinaldo","Castellinaldo","CN","44.7833","8.03333","C173"
"35468","http://it.dbpedia.org/resource/Castellino_Tanaro","Castellino Tanaro","CN","44.4333","7.98333","C176"
"35470","http://it.dbpedia.org/resource/Castelnuovo_di_Ceva","Castelnuovo di Ceva","CN","44.35","8.13333","C214"
"35471","http://it.dbpedia.org/resource/Colloredo_di_Monte_Albano","Colloredo di Monte Albano","UD","46.1667","13.1333","C885"
"35472","http://it.dbpedia.org/resource/Comeglians","Comeglians","UD","46.5167","12.8833","C918"
"35473","http://it.dbpedia.org/resource/Castiglione_Falletto","Castiglione Falletto","CN","44.6167","7.96667","C314"
"35474","http://it.dbpedia.org/resource/Castiglione_Tinella","Castiglione Tinella","CN","44.7333","8.18333","C317"
"35476","http://it.dbpedia.org/resource/Corno_di_Rosazzo","Corno di Rosazzo","UD","45.9833","13.45","D027"
"35478","http://it.dbpedia.org/resource/Cavallermaggiore","Cavallermaggiore","CN","44.7167","7.68333","C376"
"35479","http://it.dbpedia.org/resource/Coseano","Coseano","UD","46.1","13.0167","D085"
"35480","http://it.dbpedia.org/resource/Celle_di_Macra","Celle di Macra","CN","44.4833","7.18333","C441"
"35481","http://it.dbpedia.org/resource/Centallo","Centallo","CN","44.5","7.58333","C466"
"35482","http://it.dbpedia.org/resource/Ceresole_d'Alba","Ceresole d'Alba","CN","44.8","7.81667","C504"
"35483","http://it.dbpedia.org/resource/Cerretto_Langhe","Cerretto Langhe","CN","44.5667","8.1","C530"
"35484","http://it.dbpedia.org/resource/Dignano_(Italia)","Dignano ","UD","46.0833","12.9333","D300"
"35486","http://it.dbpedia.org/resource/Cervasca","Cervasca","CN","44.3833","7.46667","C547"
"35487","http://it.dbpedia.org/resource/Cervere","Cervere","CN","44.6333","7.78333","C550"
"35489","http://it.dbpedia.org/resource/Dogna","Dogna","UD","46.45","13.3167","D316"
"35491","http://it.dbpedia.org/resource/Cherasco","Cherasco","CN","44.65","7.86667","C599"
"35492","http://it.dbpedia.org/resource/Drenchia","Drenchia","UD","46.1833","13.6334","D366"
"35493","http://it.dbpedia.org/resource/Chiusa_di_Pesio","Chiusa di Pesio","CN","44.3167","7.68333","C653"
"35494","http://it.dbpedia.org/resource/Cigliè","Cigliè","CN","44.4333","7.93333","C681"
"35495","http://it.dbpedia.org/resource/Enemonzo","Enemonzo","UD","46.4167","12.8833","D408"
"35497","http://it.dbpedia.org/resource/Cissone","Cissone","CN","44.5667","8.03333","C738"
"35498","http://it.dbpedia.org/resource/Clavesana","Clavesana","CN","44.4833","7.90012","C792"
"35500","http://it.dbpedia.org/resource/Cortemilia","Cortemilia","CN","44.5667","8.18342","D062"
"35501","http://it.dbpedia.org/resource/Cossano_Belbo","Cossano Belbo","CN","44.6667","8.2","D093"
"35502","http://it.dbpedia.org/resource/Corneliano_d'Alba","Corneliano d'Alba","CN","44.7333","7.95","D022"
"35504","http://it.dbpedia.org/resource/Costigliole_Saluzzo","Costigliole Saluzzo","CN","44.5667","7.48333","D120"
"35505","http://it.dbpedia.org/resource/Cravanzana","Cravanzana","CN","44.5833","8.13333","D133"
"35506","http://it.dbpedia.org/resource/Crissolo","Crissolo","CN","44.7","7.16667","D172"
"35507","http://it.dbpedia.org/resource/Demonte","Demonte","CN","44.3167","7.3","D271"
"35508","http://it.dbpedia.org/resource/Diano_d'Alba","Diano d'Alba","CN","44.65","8.03333","D291"
"35511","http://it.dbpedia.org/resource/Dronero","Dronero","CN","44.4667","7.36667","D372"
"35512","http://it.dbpedia.org/resource/Elva","Elva","CN","44.5333","7.08333","D401"
"35514","http://it.dbpedia.org/resource/Flaibano","Flaibano","UD","46.05","12.9833","D630"
"35515","http://it.dbpedia.org/resource/Envie","Envie","CN","44.6833","7.36667","D412"
"35516","http://it.dbpedia.org/resource/Farigliano","Farigliano","CN","44.5167","7.91667","D499"
